ANO,CO_MUNICIPIO,NO_MUNICIPIO,QTD_ALUNOS_INSE,MEDIA_INSE
2023,3136959,Juvenília,228,4.4254
2023,3136900,Juruaia,306,5.185
2023,3136702,Juiz de Fora,9283,5.1931
2023,3136652,Juatuba,966,5.1363
2023,3136603,Nova União,191,5.0039
2023,3136579,Josenópolis,174,4.3021
2023,3136553,José Raydan,143,4.6396
2023,3136520,José Gonçalves de Minas,130,4.4413
2023,3136405,Joaquim Felício,123,4.6601
2023,3136306,João Pinheiro,1430,4.9163
2023,3136207,João Monlevade,2014,5.3298
2023,3136108,Joanésia,83,4.9743
2023,3136009,Joaíma,423,4.2962
2023,3135902,Jesuânia,149,5.042
2023,3135803,Jequitinhonha,638,4.408
2023,3135704,Jequitibá,164,4.5925
2023,3135605,Jequitaí,211,4.6182
2023,3135456,Jenipapo de Minas,228,4.2419
2023,3135357,Japonvar,290,4.5578
2023,3135308,Japaraíba,140,5.1369
2023,3135209,Januária,2154,4.5205
2023,3135100,Janaúba,2121,4.6924
2023,3135076,Jampruca,124,4.56
2023,3135050,Jaíba,1232,4.5333
2023,3135001,Jaguaraçu,67,5.09
2023,3134905,Jacutinga,652,5.2445
2023,3134806,Jacuí,243,5.1983
2023,3134608,Jaboticatubas,570,5.098
2023,3134509,Itutinga,115,5.0757
2023,3134400,Iturama,985,5.1096
2023,3134301,Itumirim,200,4.9431
2023,3134202,Ituiutaba,2250,5.192
2023,3134103,Itueta,131,5.0901
2023,3133808,Itaúna,2104,5.3685
2023,3133758,Itaú de Minas,320,5.3144
2023,3133709,Itatiaiuçu,415,5.3033
2023,3133600,Itapeva,369,5.3668
2023,3133402,Itapagipe,348,5.2885
2023,3133303,Itaobim,576,4.6582
2023,3133204,Itanhomi,261,5.0937
2023,3133105,Itanhandu,387,5.215
2023,3133006,Itamonte,341,5.2339
2023,3132909,Itamogi,293,5.1246
2023,3132800,Itambé do Mato Dentro,60,4.7044
2023,3132701,Itambacuri,609,4.5825
2023,3132503,Itamarandiba,1162,4.7578
2023,3132305,Itaipé,355,4.5715
2023,3132107,Itacarambi,630,4.5681
2023,3132008,Itacambira,113,4.2127
2023,3131901,Itabirito,1589,5.4049
2023,3131802,Itabirinha,287,5.023
2023,3131703,Itabira,2978,5.276
2023,3131604,Iraí de Minas,223,4.9849
2023,3131505,Ipuiúna,205,5.0683
2023,3131406,Ipiaçu,93,5.0418
2023,3131307,Ipatinga,5908,5.2819
2023,3131158,Ipaba,525,5.0178
2023,3131109,Inimutaba,213,4.567
2023,3131000,Inhaúma,194,5.0222
2023,3130903,Inhapim,530,4.9723
2023,3130804,Ingaí,96,5.0537
2023,3130705,Indianópolis,156,5.2831
2023,3130655,Indaiabira,233,4.3425
2023,3130606,Inconfidentes,256,5.2996
2023,3130556,Imbé de Minas,163,4.9184
2023,3130507,Ilicínea,389,5.1167
2023,3130408,Ijaci,217,5.2119
2023,3130309,Iguatama,159,5.1564
2023,3130200,Igaratinga,281,5.1782
2023,3130101,Igarapé,1494,5.2493
2023,3130051,Icaraí de Minas,334,4.3288
2023,3130002,Ibituruna,71,4.9276
2023,3129905,Ibitiúra de Minas,104,5.1384
2023,3129806,Ibirité,4301,5.2122
2023,3129707,Ibiraci,359,5.3474
2023,3129608,Ibiaí,222,4.4953
2023,3129509,Ibiá,410,5.2026
2023,3129301,Iapu,282,4.9837
2023,3129202,Heliodora,201,5.1632
2023,3129103,Gurinhatã,100,5.127
2023,3128907,Guimarânia,210,5.0717
2023,3128808,Guidoval,216,4.9996
2023,3128709,Guaxupé,1094,5.1398
2023,3128600,Guarda-Mor,221,5.1184
2023,3128501,Guarará,128,5.1643
2023,3128402,Guarani,236,4.908
2023,3128303,Guaranésia,461,5.1897
2023,3128253,Guaraciama,179,4.6177
2023,3128105,Guapé,381,5.1679
2023,3128006,Guanhães,808,4.9246
2023,3127909,Grupiara,38,5.0608
2023,3127800,Grão Mogol,456,4.498
2023,3127701,Governador Valadares,6168,5.1156
2023,3127404,Gonçalves,127,5.2616
2023,3127370,Goiabeira,77,5.0004
2023,3127354,Glaucilândia,71,4.8105
2023,3127339,Gameleiras,185,4.5734
2023,3127305,Galiléia,135,5.0687
2023,3127107,Frutal,1475,5.1652
2023,3127008,Fronteira,399,5.0937
2023,3126950,Frei Lagonegro,108,4.6893
2023,3126901,Frei Inocêncio,228,5.0245
2023,3126802,Frei Gaspar,183,4.6577
2023,3126752,Franciscópolis,109,4.4645
2023,3126703,Francisco Sá,614,4.5075
2023,3126604,Francisco Dumont,130,4.7682
2023,3126505,Francisco Badaró,174,4.4234
2023,3126307,Fortaleza de Minas,80,5.249
2023,3126208,Formoso,313,4.6979
2023,3126109,Formiga,1543,5.3176
2023,3126000,Florestal,289,5.4276
2023,3125952,Fervedouro,314,4.6013
2023,3125903,Ferros,236,4.6225
2023,3125804,Fernandes Tourinho,52,4.8222
2023,3125705,Felixlândia,384,4.8622
2023,3125606,Felisburgo,186,4.399
