ANO,CO_MUNICIPIO,NO_MUNICIPIO,MEDIA_ALUNOS_TURMA_ANOS_FINAIS
2023,3100104,Abadia dos Dourados,33.1
2023,3100203,Abaeté,25.2
2023,3100302,Abre Campo,23.1
2023,3100401,Acaiaca,19.8
2023,3100500,Açucena,14.6
2023,3100609,Água Boa,25.2
2023,3100708,Água Comprida,23.8
2023,3100807,Aguanil,30.1
2023,3100906,Águas Formosas,26.0
2023,3101003,Águas Vermelhas,27.6
2023,3101102,Aimorés,19.9
2023,3101201,Aiuruoca,21.5
2023,3101300,Alagoa,22.0
2023,3101409,Albertina,21.8
2023,3101508,Além Paraíba,24.8
2023,3101607,Alfenas,26.0
2023,3101631,Alfredo Vasconcelos,27.8
2023,3101706,Almenara,24.8
2023,3101805,Alpercata,23.8
2023,3101904,Alpinópolis,31.2
2023,3102001,Alterosa,28.8
2023,3102050,Alto Caparaó,28.7
2023,3102100,Alto Rio Doce,24.1
2023,3102209,Alvarenga,30.7
2023,3102308,Alvinópolis,31.1
2023,3102407,Alvorada de Minas,15.4
2023,3102506,Amparo do Serra,15.2
2023,3102605,Andradas,27.6
2023,3102704,Cachoeira de Pajeú,21.6
2023,3102803,Andrelândia,27.8
2023,3102852,Angelândia,29.7
2023,3102902,Antônio Carlos,22.1
2023,3103009,Antônio Dias,27.0
2023,3103108,Antônio Prado de Minas,18.0
2023,3103207,Araçaí,18.8
2023,3103306,Aracitaba,20.5
2023,3103405,Araçuaí,23.7
2023,3103504,Araguari,26.4
2023,3103603,Arantina,20.0
2023,3103702,Araponga,24.9
2023,3103751,Araporã,26.4
2023,3103801,Arapuá,27.0
2023,3103900,Araújos,27.5
2023,3104007,Araxá,28.1
2023,3104106,Arceburgo,26.3
2023,3104205,Arcos,27.7
2023,3104304,Areado,30.9
2023,3104403,Argirita,14.9
2023,3104452,Aricanduva,26.6
2023,3104502,Arinos,16.9
2023,3104601,Astolfo Dutra,29.6
2023,3104700,Ataléia,19.3
2023,3104809,Augusto de Lima,22.9
2023,3104908,Baependi,19.9
2023,3105004,Baldim,25.7
2023,3105103,Bambuí,23.2
2023,3105202,Bandeira,19.8
2023,3105301,Bandeira do Sul,24.0
2023,3105400,Barão de Cocais,25.2
2023,3105509,Barão de Monte Alto,18.9
2023,3105608,Barbacena,25.9
2023,3105707,Barra Longa,22.4
2023,3105905,Barroso,30.6
2023,3106002,Bela Vista de Minas,27.3
2023,3106101,Belmiro Braga,18.0
2023,3106200,Belo Horizonte,28.7
2023,3106309,Belo Oriente,27.5
2023,3106408,Belo Vale,35.6
2023,3106507,Berilo,29.5
2023,3106606,Bertópolis,24.4
2023,3106655,Berizal,26.3
2023,3106705,Betim,28.4
2023,3106804,Bias Fortes,28.8
2023,3106903,Bicas,27.9
2023,3107000,Biquinhas,17.0
2023,3107109,Boa Esperança,29.5
2023,3107208,Bocaina de Minas,20.3
2023,3107307,Bocaiúva,23.6
2023,3107406,Bom Despacho,26.8
2023,3107505,Bom Jardim de Minas,22.7
2023,3107604,Bom Jesus da Penha,27.8
2023,3107703,Bom Jesus do Amparo,36.3
2023,3107802,Bom Jesus do Galho,20.1
2023,3107901,Bom Repouso,33.2
2023,3108008,Bom Sucesso,25.7
2023,3108107,Bonfim,30.5
2023,3108206,Bonfinópolis de Minas,20.4
2023,3108255,Bonito de Minas,17.9
2023,3108305,Borda da Mata,24.9
2023,3108404,Botelhos,24.8
2023,3108503,Botumirim,20.2
2023,3108552,Brasilândia de Minas,28.1
2023,3108602,Brasília de Minas,24.0
2023,3108701,Brás Pires,18.6
2023,3108800,Braúnas,13.8
2023,3108909,Brazópolis,25.9
2023,3109006,Brumadinho,27.2
2023,3109105,Bueno Brandão,33.3
2023,3109204,Buenópolis,23.7
2023,3109253,Bugre,23.9
2023,3109303,Buritis,18.2
2023,3109402,Buritizeiro,29.7
2023,3109451,Cabeceira Grande,21.6
2023,3109501,Cabo Verde,28.5
2023,3109600,Cachoeira da Prata,21.9
2023,3109709,Cachoeira de Minas,24.7
2023,3109808,Cachoeira Dourada,17.0
2023,3109907,Caetanópolis,25.4
2023,3110004,Caeté,28.3
2023,3110103,Caiana,25.7
2023,3110202,Cajuri,18.1
2023,3110301,Caldas,23.5
2023,3110400,Camacho,24.5
2023,3110509,Camanducaia,26.9
2023,3110608,Cambuí,29.6
2023,3110707,Cambuquira,29.0
2023,3110806,Campanário,25.8
2023,3110905,Campanha,27.3
2023,3111002,Campestre,22.0
2023,3111101,Campina Verde,24.1
2023,3111150,Campo Azul,18.9
2023,3111200,Campo Belo,30.9
2023,3111309,Campo do Meio,26.1
2023,3111408,Campo Florido,26.8
2023,3111507,Campos Altos,23.5
2023,3111606,Campos Gerais,25.8
2023,3111705,Canaã,20.9
2023,3111804,Canápolis,29.0
2023,3111903,Cana Verde,28.3
2023,3112000,Candeias,26.8
2023,3112059,Cantagalo,30.9
2023,3112109,Caparaó,26.4
2023,3112208,Capela Nova,26.6
2023,3112307,Capelinha,27.7
2023,3112406,Capetinga,26.8
2023,3112505,Capim Branco,30.3
2023,3112604,Capinópolis,29.5
2023,3112653,Capitão Andrade,22.3
2023,3112703,Capitão Enéas,24.6
2023,3112802,Capitólio,30.9
2023,3112901,Caputira,23.4
2023,3113008,Caraí,22.4
2023,3113107,Caranaíba,20.8
2023,3113206,Carandaí,25.2
2023,3113305,Carangola,25.5
2023,3113404,Caratinga,25.0
2023,3113503,Carbonita,23.0
2023,3113602,Careaçu,33.6
2023,3113701,Carlos Chagas,22.3
2023,3113800,Carmésia,8.3
2023,3113909,Carmo da Cachoeira,29.3
2023,3114006,Carmo da Mata,22.8
2023,3114105,Carmo de Minas,29.1
2023,3114204,Carmo do Cajuru,25.0
2023,3114303,Carmo do Paranaíba,27.0
2023,3114402,Carmo do Rio Claro,25.5
2023,3114501,Carmópolis de Minas,26.3
2023,3114550,Carneirinho,19.7
2023,3114600,Carrancas,27.9
2023,3114709,Carvalhópolis,22.0
2023,3114808,Carvalhos,24.0
2023,3114907,Casa Grande,19.0
2023,3115003,Cascalho Rico,15.5
2023,3115102,Cássia,28.6
2023,3115201,Conceição da Barra de Minas,21.0
2023,3115300,Cataguases,25.1
2023,3115359,Catas Altas,23.1
2023,3115409,Catas Altas da Noruega,23.9
2023,3115458,Catuji,31.6
2023,3115474,Catuti,20.2
2023,3115508,Caxambu,26.3
2023,3115607,Cedro do Abaeté,11.8
2023,3115706,Central de Minas,19.9
2023,3115805,Centralina,21.2
2023,3115904,Chácara,22.7
2023,3116001,Chalé,17.7
2023,3116100,Chapada do Norte,17.7
2023,3116159,Chapada Gaúcha,20.3
2023,3116209,Chiador,24.5
2023,3116308,Cipotânea,26.1
2023,3116407,Claraval,27.3
2023,3116506,Claro dos Poções,27.2
2023,3116605,Cláudio,25.2
2023,3116704,Coimbra,29.2
2023,3116803,Coluna,23.2
2023,3116902,Comendador Gomes,21.2
2023,3117009,Comercinho,21.4
2023,3117108,Conceição da Aparecida,27.3
