ANO,CO_MUNICIPIO,NO_MUNICIPIO,PERC_DOCENTES_BAIXA_REGULARIDADE,PERC_DOCENTES_ALTA_REGULARIDADE
2023,3100104,Abadia dos Dourados,0.0,57.1
2023,3100203,Abaeté,6.7,13.3
2023,3100302,Abre Campo,0.0,28.6
2023,3100401,Acaiaca,0.0,40.0
2023,3100500,Açucena,0.0,7.2
2023,3100609,Água Boa,5.3,15.7
2023,3100708,Água Comprida,0.0,0.0
2023,3100807,Aguanil,0.0,0.0
2023,3100906,Águas Formosas,26.3,5.3
2023,3101003,Águas Vermelhas,42.9,0.0
2023,3101102,Aimorés,12.5,8.3
2023,3101201,Aiuruoca,0.0,0.0
2023,3101300,Alagoa,0.0,33.4
2023,3101409,Albertina,0.0,0.0
2023,3101508,Além Paraíba,0.0,0.0
2023,3101607,Alfenas,0.0,0.0
2023,3101631,Alfredo Vasconcelos,28.6,0.0
2023,3101706,Almenara,2.9,38.2
2023,3101805,Alpercata,0.0,40.0
2023,3101904,Alpinópolis,0.0,0.0
2023,3102001,Alterosa,0.0,50.0
2023,3102050,Alto Caparaó,0.0,0.0
2023,3102100,Alto Rio Doce,0.0,0.0
2023,3102209,Alvarenga,14.3,0.0
2023,3102308,Alvinópolis,12.5,12.5
2023,3102407,Alvorada de Minas,0.0,0.0
2023,3102506,Amparo do Serra,0.0,0.0
2023,3102605,Andradas,10.5,0.0
2023,3102704,Cachoeira de Pajeú,9.1,0.0
2023,3102803,Andrelândia,0.0,20.0
2023,3102852,Angelândia,25.0,0.0
2023,3102902,Antônio Carlos,42.9,0.0
2023,3103009,Antônio Dias,0.0,33.3
2023,3103108,Antônio Prado de Minas,0.0,33.3
2023,3103207,Araçaí,0.0,0.0
2023,3103306,Aracitaba,0.0,50.0
2023,3103405,Araçuaí,17.6,8.9
2023,3103504,Araguari,2.0,2.1
2023,3103603,Arantina,0.0,25.0
2023,3103702,Araponga,33.3,22.3
2023,3103751,Araporã,0.0,0.0
2023,3103801,Arapuá,25.0,0.0
2023,3103900,Araújos,0.0,0.0
2023,3104007,Araxá,16.0,4.0
2023,3104106,Arceburgo,0.0,0.0
2023,3104205,Arcos,5.3,0.0
2023,3104304,Areado,28.6,0.0
2023,3104403,Argirita,0.0,0.0
2023,3104452,Aricanduva,16.7,0.0
2023,3104502,Arinos,14.3,0.0
2023,3104601,Astolfo Dutra,0.0,0.0
2023,3104700,Ataléia,5.3,21.0
2023,3104809,Augusto de Lima,0.0,66.7
2023,3104908,Baependi,21.4,0.0
2023,3105004,Baldim,11.1,0.0
2023,3105103,Bambuí,0.0,0.0
2023,3105202,Bandeira,0.0,0.0
2023,3105301,Bandeira do Sul,0.0,0.0
2023,3105400,Barão de Cocais,11.8,0.0
2023,3105509,Barão de Monte Alto,7.7,15.4
2023,3105608,Barbacena,0.0,2.3
2023,3105707,Barra Longa,23.1,15.3
2023,3105905,Barroso,14.3,0.0
2023,3106002,Bela Vista de Minas,0.0,50.0
2023,3106101,Belmiro Braga,20.0,0.0
2023,3106200,Belo Horizonte,2.7,19.6
2023,3106309,Belo Oriente,0.0,0.0
2023,3106408,Belo Vale,0.0,22.2
2023,3106507,Berilo,26.1,4.4
2023,3106606,Bertópolis,0.0,0.0
2023,3106655,Berizal,14.3,0.0
2023,3106705,Betim,0.0,5.6
2023,3106804,Bias Fortes,25.0,0.0
2023,3106903,Bicas,0.0,12.5
2023,3107000,Biquinhas,25.0,25.0
2023,3107109,Boa Esperança,4.8,4.7
2023,3107208,Bocaina de Minas,0.0,40.0
2023,3107307,Bocaiúva,11.8,0.0
2023,3107406,Bom Despacho,0.0,4.0
2023,3107505,Bom Jardim de Minas,0.0,66.6
2023,3107604,Bom Jesus da Penha,0.0,0.0
2023,3107703,Bom Jesus do Amparo,16.7,16.6
2023,3107802,Bom Jesus do Galho,0.0,10.0
2023,3107901,Bom Repouso,16.7,16.6
2023,3108008,Bom Sucesso,9.1,0.0
2023,3108107,Bonfim,0.0,0.0
2023,3108206,Bonfinópolis de Minas,0.0,0.0
2023,3108255,Bonito de Minas,0.0,27.8
2023,3108305,Borda da Mata,0.0,0.0
2023,3108404,Botelhos,18.2,36.3
2023,3108503,Botumirim,27.3,0.0
2023,3108552,Brasilândia de Minas,12.5,12.5
2023,3108602,Brasília de Minas,11.1,11.1
2023,3108701,Brás Pires,0.0,16.7
2023,3108800,Braúnas,0.0,50.0
2023,3108909,Brazópolis,0.0,9.1
2023,3109006,Brumadinho,0.0,13.1
2023,3109105,Bueno Brandão,0.0,25.0
2023,3109204,Buenópolis,12.5,25.0
2023,3109253,Bugre,0.0,0.0
2023,3109303,Buritis,8.3,0.0
2023,3109402,Buritizeiro,11.5,11.6
2023,3109451,Cabeceira Grande,0.0,14.2
2023,3109501,Cabo Verde,10.0,0.0
2023,3109600,Cachoeira da Prata,0.0,0.0
2023,3109709,Cachoeira de Minas,0.0,0.0
2023,3109808,Cachoeira Dourada,0.0,0.0
2023,3109907,Caetanópolis,20.0,20.0
2023,3110004,Caeté,0.0,40.0
2023,3110103,Caiana,8.3,8.4
2023,3110202,Cajuri,0.0,0.0
2023,3110301,Caldas,0.0,0.0
2023,3110400,Camacho,0.0,0.0
2023,3110509,Camanducaia,13.3,0.0
2023,3110608,Cambuí,0.0,0.0
2023,3110707,Cambuquira,0.0,12.5
2023,3110806,Campanário,0.0,0.0
2023,3110905,Campanha,10.0,10.0
2023,3111002,Campestre,0.0,9.1
2023,3111101,Campina Verde,0.0,7.7
2023,3111150,Campo Azul,0.0,12.5
2023,3111200,Campo Belo,0.0,0.0
2023,3111309,Campo do Meio,0.0,14.3
2023,3111408,Campo Florido,0.0,16.7
2023,3111507,Campos Altos,0.0,10.0
2023,3111606,Campos Gerais,7.1,7.2
2023,3111705,Canaã,0.0,0.0
2023,3111804,Canápolis,0.0,0.0
2023,3111903,Cana Verde,25.0,0.0
2023,3112000,Candeias,0.0,0.0
2023,3112059,Cantagalo,0.0,0.0
2023,3112109,Caparaó,33.3,11.2
2023,3112208,Capela Nova,0.0,10.0
2023,3112307,Capelinha,12.5,8.4
2023,3112406,Capetinga,50.0,0.0
2023,3112505,Capim Branco,0.0,0.0
2023,3112604,Capinópolis,0.0,12.5
2023,3112653,Capitão Andrade,20.0,20.0
2023,3112703,Capitão Enéas,6.7,6.6
2023,3112802,Capitólio,33.3,0.0
2023,3112901,Caputira,18.2,18.2
2023,3113008,Caraí,19.4,0.0
2023,3113107,Caranaíba,0.0,40.0
2023,3113206,Carandaí,0.0,6.7
2023,3113305,Carangola,7.1,7.2
2023,3113404,Caratinga,9.4,10.9
2023,3113503,Carbonita,20.0,10.0
2023,3113602,Careaçu,0.0,0.0
2023,3113701,Carlos Chagas,5.9,0.0
2023,3113800,Carmésia,0.0,20.0
2023,3113909,Carmo da Cachoeira,0.0,0.0
2023,3114006,Carmo da Mata,0.0,16.7
2023,3114105,Carmo de Minas,22.2,0.0
2023,3114204,Carmo do Cajuru,20.0,0.0
2023,3114303,Carmo do Paranaíba,18.2,9.1
2023,3114402,Carmo do Rio Claro,11.1,11.1
2023,3114501,Carmópolis de Minas,12.5,0.0
2023,3114550,Carneirinho,11.1,11.1
2023,3114600,Carrancas,0.0,0.0
2023,3114709,Carvalhópolis,0.0,33.4
2023,3114808,Carvalhos,20.0,0.0
2023,3114907,Casa Grande,0.0,0.0
2023,3115003,Cascalho Rico,0.0,0.0
2023,3115102,Cássia,22.2,11.2
2023,3115201,Conceição da Barra de Minas,0.0,0.0
2023,3115300,Cataguases,2.9,8.9
2023,3115359,Catas Altas,0.0,16.7
2023,3115409,Catas Altas da Noruega,33.3,0.0
2023,3115458,Catuji,25.0,0.0
2023,3115474,Catuti,16.7,0.0
2023,3115508,Caxambu,0.0,7.6
2023,3115607,Cedro do Abaeté,0.0,0.0
2023,3115706,Central de Minas,0.0,0.0
2023,3115805,Centralina,0.0,0.0
2023,3115904,Chácara,0.0,0.0
2023,3116001,Chalé,6.7,40.0
2023,3116100,Chapada do Norte,22.2,0.0
2023,3116159,Chapada Gaúcha,11.8,5.9
2023,3116209,Chiador,28.6,0.0
2023,3116308,Cipotânea,0.0,0.0
2023,3116407,Claraval,0.0,20.0
2023,3116506,Claro dos Poções,0.0,0.0
2023,3116605,Cláudio,0.0,0.0
2023,3116704,Coimbra,0.0,0.0
2023,3116803,Coluna,20.0,0.0
2023,3116902,Comendador Gomes,0.0,33.3
2023,3117009,Comercinho,18.2,27.2
2023,3117108,Conceição da Aparecida,28.6,0.0
2023,3117207,Conceição das Pedras,0.0,33.4
2023,3117306,Conceição das Alagoas,8.3,25.0
2023,3117405,Conceição de Ipanema,50.0,0.0
2023,3117504,Conceição do Mato Dentro,14.3,23.8
2023,3117603,Conceição do Pará,28.6,0.0
2023,3117702,Conceição do Rio Verde,10.0,0.0
2023,3117801,Conceição dos Ouros,0.0,0.0
2023,3117836,Cônego Marinho,5.9,11.7
2023,3117876,Confins,0.0,16.7
2023,3117900,Congonhal,0.0,0.0
2023,3118007,Congonhas,0.0,12.1
2023,3118106,Congonhas do Norte,0.0,0.0
2023,3118205,Conquista,0.0,16.7
2023,3118304,Conselheiro Lafaiete,3.8,23.2
2023,3118403,Conselheiro Pena,0.0,10.0
2023,3118502,Consolação,0.0,50.0
2023,3118601,Contagem,7.9,0.7
2023,3118700,Coqueiral,0.0,40.0
2023,3118809,Coração de Jesus,7.7,10.2
2023,3118908,Cordisburgo,0.0,57.1
2023,3119005,Cordislândia,0.0,0.0
2023,3119104,Corinto,14.3,7.1
2023,3119203,Coroaci,12.5,12.4
2023,3119302,Coromandel,20.0,4.0
2023,3119401,Coronel Fabriciano,0.0,2.8
2023,3119500,Coronel Murta,0.0,0.0
2023,3119609,Coronel Pacheco,0.0,0.0
2023,3119708,Coronel Xavier Chaves,0.0,0.0
2023,3119807,Córrego Danta,0.0,0.0
2023,3119906,Córrego do Bom Jesus,0.0,0.0
2023,3119955,Córrego Fundo,0.0,0.0
2023,3120003,Córrego Novo,0.0,0.0
2023,3120102,Couto de Magalhães de Minas,0.0,0.0
2023,3120151,Crisólita,0.0,0.0
2023,3120201,Cristais,12.5,0.0
2023,3120300,Cristália,0.0,33.3
2023,3120409,Cristiano Otoni,0.0,20.0
2023,3120508,Cristina,12.5,0.0
2023,3120607,Crucilândia,0.0,0.0
2023,3120706,Cruzeiro da Fortaleza,0.0,0.0
2023,3120805,Cruzília,0.0,0.0
2023,3120839,Cuparaque,33.3,0.0
2023,3120870,Curral de Dentro,0.0,12.5
2023,3120904,Curvelo,0.0,10.8
2023,3121001,Datas,14.3,0.0
2023,3121100,Delfim Moreira,0.0,0.0
