ANO,CO_MUNICIPIO,NO_MUNICIPIO,TAXA_ABANDONO_ANOS_FINAIS
2023,3100104,Abadia dos Dourados,2.2
2023,3100203,Abaeté,0.7
2023,3100302,Abre Campo,1.1
2023,3100401,Acaiaca,0.0
2023,3100500,Açucena,1.7
2023,3100609,Água Boa,0.5
2023,3100708,Água Comprida,0.0
2023,3100807,Aguanil,0.9
2023,3100906,Águas Formosas,3.1
2023,3101003,Águas Vermelhas,1.9
2023,3101102,Aimorés,1.0
2023,3101201,Aiuruoca,0.0
2023,3101300,Alagoa,0.0
2023,3101409,Albertina,0.6
2023,3101508,Além Paraíba,0.9
2023,3101607,Alfenas,2.4
2023,3101631,Alfredo Vasconcelos,0.0
2023,3101706,Almenara,2.4
2023,3101805,Alpercata,1.6
2023,3101904,Alpinópolis,0.7
2023,3102001,Alterosa,0.5
2023,3102050,Alto Caparaó,0.9
2023,3102100,Alto Rio Doce,2.6
2023,3102209,Alvarenga,4.2
2023,3102308,Alvinópolis,2.3
2023,3102407,Alvorada de Minas,2.7
2023,3102506,Amparo do Serra,2.1
2023,3102605,Andradas,1.6
2023,3102704,Cachoeira de Pajeú,3.5
2023,3102803,Andrelândia,3.2
2023,3102852,Angelândia,2.0
2023,3102902,Antônio Carlos,0.3
2023,3103009,Antônio Dias,1.8
2023,3103108,Antônio Prado de Minas,0.0
2023,3103207,Araçaí,0.0
2023,3103306,Aracitaba,5.0
2023,3103405,Araçuaí,2.7
2023,3103504,Araguari,0.7
2023,3103603,Arantina,0.0
2023,3103702,Araponga,1.1
2023,3103751,Araporã,0.3
2023,3103801,Arapuá,0.0
2023,3103900,Araújos,0.8
2023,3104007,Araxá,1.4
2023,3104106,Arceburgo,2.4
2023,3104205,Arcos,0.2
2023,3104304,Areado,1.3
2023,3104403,Argirita,0.0
2023,3104452,Aricanduva,0.7
2023,3104502,Arinos,0.3
2023,3104601,Astolfo Dutra,2.0
2023,3104700,Ataléia,1.2
2023,3104809,Augusto de Lima,1.1
2023,3104908,Baependi,0.5
2023,3105004,Baldim,1.6
2023,3105103,Bambuí,0.6
2023,3105202,Bandeira,0.9
2023,3105301,Bandeira do Sul,1.4
2023,3105400,Barão de Cocais,1.1
2023,3105509,Barão de Monte Alto,0.0
2023,3105608,Barbacena,0.7
2023,3105707,Barra Longa,3.4
2023,3105905,Barroso,2.5
2023,3106002,Bela Vista de Minas,1.1
2023,3106101,Belmiro Braga,0.9
2023,3106200,Belo Horizonte,1.3
2023,3106309,Belo Oriente,0.4
2023,3106408,Belo Vale,1.5
2023,3106507,Berilo,0.0
2023,3106606,Bertópolis,0.4
2023,3106655,Berizal,2.9
2023,3106705,Betim,0.8
2023,3106804,Bias Fortes,0.0
2023,3106903,Bicas,3.4
2023,3107000,Biquinhas,3.8
2023,3107109,Boa Esperança,1.4
2023,3107208,Bocaina de Minas,1.8
2023,3107307,Bocaiúva,1.4
