ANO,CO_MUNICIPIO,NO_MUNICIPIO,TDI_ANOS_FINAIS
2023,3100104,Abadia dos Dourados,11.4
2023,3100203,Abaeté,14.2
2023,3100302,Abre Campo,15.9
2023,3100401,Acaiaca,11.0
2023,3100500,Açucena,11.3
2023,3100609,Água Boa,9.1
2023,3100708,Água Comprida,16.8
2023,3100807,Aguanil,6.2
2023,3100906,Águas Formosas,10.5
2023,3101003,Águas Vermelhas,7.8
2023,3101102,Aimorés,10.4
2023,3101201,Aiuruoca,18.6
2023,3101300,Alagoa,22.1
2023,3101409,Albertina,5.2
2023,3101508,Além Paraíba,17.6
2023,3101607,Alfenas,11.9
2023,3101631,Alfredo Vasconcelos,12.0
2023,3101706,Almenara,21.5
2023,3101805,Alpercata,15.5
2023,3101904,Alpinópolis,4.9
2023,3102001,Alterosa,4.9
2023,3102050,Alto Caparaó,19.8
2023,3102100,Alto Rio Doce,18.9
2023,3102209,Alvarenga,14.2
2023,3102308,Alvinópolis,7.0
2023,3102407,Alvorada de Minas,13.0
2023,3102506,Amparo do Serra,21.8
2023,3102605,Andradas,6.3
2023,3102704,Cachoeira de Pajeú,7.4
2023,3102803,Andrelândia,17.4
2023,3102852,Angelândia,5.0
2023,3102902,Antônio Carlos,5.1
2023,3103009,Antônio Dias,10.4
2023,3103108,Antônio Prado de Minas,11.1
2023,3103207,Araçaí,5.3
2023,3103306,Aracitaba,25.6
2023,3103405,Araçuaí,8.5
2023,3103504,Araguari,10.2
2023,3103603,Arantina,15.0
2023,3103702,Araponga,14.5
2023,3103751,Araporã,23.4
2023,3103801,Arapuá,5.2
2023,3103900,Araújos,4.1
2023,3104007,Araxá,15.4
2023,3104106,Arceburgo,15.5
2023,3104205,Arcos,4.9
2023,3104304,Areado,9.8
2023,3104403,Argirita,21.0
2023,3104452,Aricanduva,3.4
2023,3104502,Arinos,7.2
2023,3104601,Astolfo Dutra,11.8
2023,3104700,Ataléia,17.0
2023,3104809,Augusto de Lima,14.5
2023,3104908,Baependi,10.9
2023,3105004,Baldim,7.3
2023,3105103,Bambuí,5.3
2023,3105202,Bandeira,14.7
2023,3105301,Bandeira do Sul,10.8
2023,3105400,Barão de Cocais,17.4
2023,3105509,Barão de Monte Alto,12.1
