ANO,CO_MUNICIPIO,NO_MUNICIPIO,QTD_ALUNOS_INSE,MEDIA_INSE,TDI_ANOS_FINAIS,MEDIA_ALUNOS_TURMA_ANOS_FINAIS,PERC_ESCOLAS_BAIXA_REGULARIDADE_DOCENTE,PERC_ESCOLAS_MEDIA_BAIXA_REGULARIDADE_DOCENTE,PERC_ESCOLAS_MEDIA_ALTA_REGULARIDADE_DOCENTE,PERC_ESCOLAS_ALTA_REGULARIDADE_DOCENTE,TAXA_ABANDONO_ANOS_FINAIS
2023,3136959,Juvenília,228,4.4254,8.8,17.5,0.0,18.2,54.5,27.3,0.8
2023,3136900,Juruaia,306,5.185,17.4,31.6,14.3,42.9,42.8,0.0,3.4
2023,3136702,Juiz de Fora,9283,5.1931,19.2,24.9,11.1,58.9,27.2,2.8,1.2
2023,3136652,Juatuba,966,5.1363,8.0,24.2,23.5,52.9,11.8,11.8,0.1
2023,3136603,Nova União,191,5.0039,22.5,28.8,0.0,20.0,80.0,0.0,0.6
2023,3136579,Josenópolis,174,4.3021,14.9,30.6,16.7,66.7,16.6,0.0,2.6
2023,3136553,José Raydan,143,4.6396,4.8,20.8,0.0,62.5,37.5,0.0,0.9
2023,3136520,José Gonçalves de Minas,130,4.4413,8.0,20.0,0.0,83.3,16.7,0.0,0.0
2023,3136405,Joaquim Felício,123,4.6601,23.8,22.7,0.0,0.0,66.7,33.3,0.0
2023,3136306,João Pinheiro,1430,4.9163,5.4,22.3,0.0,29.6,63.0,7.4,1.4
2023,3136207,João Monlevade,2014,5.3298,5.2,32.3,4.5,31.8,63.7,0.0,0.6
2023,3136108,Joanésia,83,4.9743,8.2,17.9,0.0,57.1,42.9,0.0,0.0
2023,3136009,Joaíma,423,4.2962,12.2,22.8,11.1,27.8,27.8,33.3,4.5
2023,3135902,Jesuânia,149,5.042,23.1,25.0,0.0,0.0,66.7,33.3,3.1
2023,3135803,Jequitinhonha,638,4.408,7.9,22.6,16.7,33.3,41.7,8.3,2.8
2023,3135704,Jequitibá,164,4.5925,8.9,20.1,0.0,0.0,100.0,0.0,1.3
